OBS_date,FEDFUNDS_full,dFEDFUNDS_full,dummy
01/07/1954,#N/A,#N/A,0
01/10/1954,1.026666667,#N/A,0
01/01/1955,0.986666667,-0.04,0
01/04/1955,1.343333333,0.356666666,0
01/07/1955,1.5,0.156666667,0
01/10/1955,1.94,0.44,0
01/01/1956,2.356666667,0.416666667,0
01/04/1956,2.483333333,0.126666666,0
01/07/1956,2.693333333,0.21,0
01/10/1956,2.81,0.116666667,0
01/01/1957,2.926666667,0.116666667,0
01/04/1957,2.933333333,0.006666666,0
01/07/1957,3,0.066666667,0
01/10/1957,3.233333333,0.233333333,0
01/01/1958,3.253333333,0.02,0
01/04/1958,1.863333333,-1.39,0
01/07/1958,0.94,-0.923333333,0
01/10/1958,1.323333333,0.383333333,0
01/01/1959,2.163333333,0.84,0
01/04/1959,2.57,0.406666667,0
01/07/1959,3.083333333,0.513333333,0
01/10/1959,3.576666667,0.493333334,0
01/01/1960,3.99,0.413333333,0
01/04/1960,3.933333333,-0.056666667,0
01/07/1960,3.696666667,-0.236666666,0
01/10/1960,2.936666667,-0.76,0
01/01/1961,2.296666667,-0.64,0
01/04/1961,2.003333333,-0.293333334,0
01/07/1961,1.733333333,-0.27,0
01/10/1961,1.683333333,-0.05,0
01/01/1962,2.4,0.716666667,0
01/04/1962,2.456666667,0.056666667,0
01/07/1962,2.606666667,0.15,0
01/10/1962,2.846666667,0.24,0
01/01/1963,2.923333333,0.076666666,0
01/04/1963,2.966666667,0.043333334,0
01/07/1963,2.963333333,-0.003333334,0
01/10/1963,3.33,0.366666667,0
01/01/1964,3.453333333,0.123333333,0
01/04/1964,3.463333333,0.01,0
01/07/1964,3.49,0.026666667,0
01/10/1964,3.456666667,-0.033333333,0
01/01/1965,3.576666667,0.12,0
01/04/1965,3.973333333,0.396666666,0
01/07/1965,4.076666667,0.103333334,0
01/10/1965,4.073333333,-0.003333334,0
01/01/1966,4.166666667,0.093333334,0
01/04/1966,4.556666667,0.39,0
01/07/1966,4.913333333,0.356666666,0
01/10/1966,5.41,0.496666667,0
01/01/1967,5.563333333,0.153333333,0
01/04/1967,4.823333333,-0.74,0
01/07/1967,3.99,-0.833333333,0
01/10/1967,3.893333333,-0.096666667,0
01/01/1968,4.173333333,0.28,0
01/04/1968,4.786666667,0.613333334,0
01/07/1968,5.98,1.193333333,0
01/10/1968,5.943333333,-0.036666667,0
01/01/1969,5.916666667,-0.026666666,0
01/04/1969,6.566666667,0.65,0
01/07/1969,8.326666667,1.76,0
01/10/1969,8.983333333,0.656666666,0
01/01/1970,8.94,-0.043333333,0
01/04/1970,8.573333333,-0.366666667,0
01/07/1970,7.88,-0.693333333,0
01/10/1970,6.703333333,-1.176666667,0
01/01/1971,5.566666667,-1.136666666,0
01/04/1971,3.856666667,-1.71,0
01/07/1971,4.563333333,0.706666666,0
01/10/1971,5.473333333,0.91,0
01/01/1972,4.75,-0.723333333,0
01/04/1972,3.54,-1.21,0
01/07/1972,4.3,0.76,0
01/10/1972,4.74,0.44,0
01/01/1973,5.143333333,0.403333333,0
01/04/1973,6.536666667,1.393333334,0
01/07/1973,7.816666667,1.28,0
01/10/1973,10.56,2.743333333,0
01/01/1974,9.996666667,-0.563333333,0
01/04/1974,9.323333333,-0.673333334,0
01/07/1974,11.25,1.926666667,0
01/10/1974,12.09,0.84,0
01/01/1975,9.346666667,-2.743333333,0
01/04/1975,6.303333333,-3.043333334,0
01/07/1975,5.42,-0.883333333,0
01/10/1975,6.16,0.74,0
01/01/1976,5.413333333,-0.746666667,0
01/04/1976,4.826666667,-0.586666666,0
01/07/1976,5.196666667,0.37,0
01/10/1976,5.283333333,0.086666666,0
